2025-09-29 10:14:24,739 - feedback - INFO - Endpoint: /report | Feedbacks fetched  0
2025-09-29 10:14:24,742 - feedback - INFO - Endpoint: /report | ChatUsers fetched  0
2025-09-29 10:14:24,742 - feedback - INFO - Endpoint: /report | Calling user-service to fetch users
2025-09-29 10:14:25,227 - feedback - INFO - Endpoint: /report | user-service returned  74 users
2025-09-29 10:14:25,227 - feedback - INFO - Endpoint: /report | Processed users after feedback mapping  74
2025-09-29 10:14:25,227 - feedback - INFO - Endpoint: /report | Pagination applied  total=74, page=0, size=10, last_page=8, returned=10
2025-09-29 10:14:25,227 - feedback - INFO - Endpoint: /report | Summary  total_feedbacks=0, positive=0, negative=0, queries=0
2025-09-29 10:14:40,297 - feedback - INFO - Endpoint: /feedback/configure | Request received
2025-09-29 10:14:40,309 - feedback - INFO - Endpoint: /recent | Request received
2025-09-29 10:14:40,310 - feedback - WARNING - Endpoint: /feedback/configure | No config flag found
2025-09-29 10:14:40,315 - feedback - INFO - Endpoint: /recent | Feedbacks fetched  count=0
2025-09-29 10:14:40,315 - feedback - WARNING - Endpoint: /recent | No feedbacks found
2025-09-29 10:14:41,474 - feedback - INFO - Endpoint: /feedback/configure | Request received
2025-09-29 10:14:41,486 - feedback - WARNING - Endpoint: /feedback/configure | No config flag found
2025-09-29 10:14:41,486 - feedback - INFO - Endpoint: /recent | Request received
2025-09-29 10:14:41,490 - feedback - INFO - Endpoint: /recent | Feedbacks fetched  count=0
2025-09-29 10:14:41,490 - feedback - WARNING - Endpoint: /recent | No feedbacks found
2025-09-29 10:15:06,603 - feedback - INFO - Endpoint: /report | Request received  start_date=None, end_date=None, page=0, size=10, sort_by=total_feedbacks, sort_dir=desc, search=None
2025-09-29 10:15:06,604 - feedback - INFO - Endpoint: /report | Date range applied  2025-09-29 to 2025-09-29
2025-09-29 10:15:06,608 - feedback - INFO - Endpoint: /report | Feedbacks fetched  0
2025-09-29 10:15:06,611 - feedback - INFO - Endpoint: /report | ChatUsers fetched  0
2025-09-29 10:15:06,611 - feedback - INFO - Endpoint: /report | Calling user-service to fetch users
2025-09-29 10:15:07,174 - feedback - INFO - Endpoint: /report | user-service returned  74 users
2025-09-29 10:15:07,175 - feedback - INFO - Endpoint: /report | Processed users after feedback mapping  74
2025-09-29 10:15:07,175 - feedback - INFO - Endpoint: /report | Pagination applied  total=74, page=0, size=10, last_page=8, returned=10
2025-09-29 10:15:07,176 - feedback - INFO - Endpoint: /report | Summary  total_feedbacks=0, positive=0, negative=0, queries=0
2025-09-29 10:15:07,492 - feedback - INFO - Endpoint: /report | Request received  start_date=None, end_date=None, page=0, size=10, sort_by=total_feedbacks, sort_dir=desc, search=None
2025-09-29 10:15:07,492 - feedback - INFO - Endpoint: /report | Date range applied  2025-09-29 to 2025-09-29
2025-09-29 10:15:07,497 - feedback - INFO - Endpoint: /report | Feedbacks fetched  0
2025-09-29 10:15:07,506 - feedback - INFO - Endpoint: /report | ChatUsers fetched  0
